id,type,dc\.identifier,definition,inScheme,notation,note,prefLabel,topConceptOf,hasTopConcept
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/fo,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.fo,Sediment rijk aan fossielen.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,FO,Sediment rijk aan fossielen.,fossielrijk,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/fs,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.fs,Een grofkorrelige kalksteen waarbij meer dan 10% van de klasten groter is dan 2 mm. De klasten worden door de matrix gedragen.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,FS,Een grofkorrelige kalksteen waarbij meer dan 10% van de klasten groter is dan 2 mm. De klasten worden door de matrix gedragen.,floatstone,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/fu,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.fu,Gelaagd sediment waarbij de korrelgrootte afneemt naar boven toe.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,FU,Gelaagd sediment waarbij de korrelgrootte afneemt naar boven toe.,FU-gegradeerde gelaagdheid,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/ge,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.ge,Aanwezigheid van een gebande textuur.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,GE,Aanwezigheid van een gebande textuur.,geband,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/go,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.go,"Een laagvlak dat een ondulerend of golvend voorkomen heeft, in tegenstelling tot een recht laagvlak.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,GO,"Een laagvlak dat een ondulerend of golvend voorkomen heeft, in tegenstelling tot een recht laagvlak.",golvend laagvlak,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/gp,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.gp,Structuur gevormd door de gedeeltelijke opvulling van een holte door sediment onder invloed van de zwaartekracht.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,GP,Structuur gevormd door de gedeeltelijke opvulling van een holte door sediment onder invloed van de zwaartekracht.,geopetale structuur,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/gt,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.gt,De textuur van een klastisch gesteente.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,GT,De textuur van een klastisch gesteente.,grainstone textuur,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/hg,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.hg,"Een verhard oppervlak, gevormd door synsedimentaire lithificatie van sediment op de zeebodem tijdens een periode van verminderde sedimentatiesnelheid.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,HG,"Een verhard oppervlak, gevormd door synsedimentaire lithificatie van sediment op de zeebodem tijdens een periode van verminderde sedimentatiesnelheid.",hardground,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/ik,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.ik,"Een klast gevormd door erosie van sediment niet lang na afzetting, herwerkt in een jongere afzetting.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,IK,"Een klast gevormd door erosie van sediment niet lang na afzetting, herwerkt in een jongere afzetting.",intraklasten,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/ka,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.ka,"Oplossingsstructuren gevormd in carbonaathoudend materiaal, meestal door de inwerking van zuur oppervlaktewater.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,KA,"Oplossingsstructuren gevormd in carbonaathoudend materiaal, meestal door de inwerking van zuur oppervlaktewater.",karst / oplossing,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
